treatment,species,day,total seeds,germinated,%germinated,,,,,,7
low N,heco,1,320,0,0,,,,,,
low N,heco,2,320,113,0.353125,,,,,,
low N,heco,3,320,180,0.5625,,,,,,
low N,heco,4,320,190,0.59375,,,,,,
low N,heco,5,320,221,0.690625,,,,,,
low N,heco,6,320,233,0.728125,,,,,,
high N,heco,1,360,0,0,,,,,,
high N,heco,2,360,95,0.263888889,,,,,,
high N,heco,3,360,194,0.538888889,,,,,,
high N,heco,4,360,219,0.608333333,,,,,,
high N,heco,5,360,228,0.633333333,,,,,,
high N,heco,6,360,243,0.675,,,,,,
high N,ceso,1,100,0,0,,,,,,
high N,ceso,2,100,1,0.01,,,,,,
high N,ceso,3,100,73,0.73,,,,,,
high N,ceso,4,100,73,0.73,,,,,,
high N,ceso,5,100,76,0.76,,,,,,
low N,ceso,1,95,0,0,,,,,,
low N,ceso,2,95,14,0.147368421,,,,,,
low N,ceso,3,95,65,0.684210526,,,,,,
low N,ceso,4,95,67,0.705263158,,,,,,
low N,ceso,5,95,69,0.726315789,,,,,,
